,Menu,Calories
0,Brewed CoffeeShort,3
1,Brewed CoffeeTall,4
2,Brewed CoffeeGrande,5
3,Brewed CoffeeVenti,5
4,Caffè LatteShort Nonfat Milk,70
5,Caffè Latte2% Milk,100
6,Caffè LatteSoymilk,70
7,Caffè LatteTall Nonfat Milk,100
8,Caffè Latte2% Milk,150
9,Caffè LatteSoymilk,110
10,Caffè LatteGrande Nonfat Milk,130
11,Caffè Latte2% Milk,190
12,Caffè LatteSoymilk,150
13,Caffè LatteVenti Nonfat Milk,170
14,Caffè Latte2% Milk,240
15,Caffè LatteSoymilk,190
16,Caffè Mocha (Without Whipped Cream)Short Nonfat Milk,110
17,Caffè Mocha (Without Whipped Cream)2% Milk,130
18,Caffè Mocha (Without Whipped Cream)Soymilk,110
19,Caffè Mocha (Without Whipped Cream)Tall Nonfat Milk,170
20,Caffè Mocha (Without Whipped Cream)2% Milk,200
21,Caffè Mocha (Without Whipped Cream)Soymilk,180
22,Caffè Mocha (Without Whipped Cream)Grande Nonfat Milk,220
23,Caffè Mocha (Without Whipped Cream)2% Milk,260
24,Caffè Mocha (Without Whipped Cream)Soymilk,230
25,Caffè Mocha (Without Whipped Cream)Venti Nonfat Milk,280
26,Caffè Mocha (Without Whipped Cream)2% Milk,340
27,Caffè Mocha (Without Whipped Cream)Soymilk,290
28,Vanilla Latte (Or Other Flavoured Latte)Short Nonfat Milk,100
29,Vanilla Latte (Or Other Flavoured Latte)2% Milk,130
30,Vanilla Latte (Or Other Flavoured Latte)Soymilk,110
31,Vanilla Latte (Or Other Flavoured Latte)Tall Nonfat Milk,150
32,Vanilla Latte (Or Other Flavoured Latte)2% Milk,200
33,Vanilla Latte (Or Other Flavoured Latte)Soymilk,160
34,Vanilla Latte (Or Other Flavoured Latte)Grande Nonfat Milk,200
35,Vanilla Latte (Or Other Flavoured Latte)2% Milk,250
36,Vanilla Latte (Or Other Flavoured Latte)Soymilk,210
37,Vanilla Latte (Or Other Flavoured Latte)Venti Nonfat Milk,250
38,Vanilla Latte (Or Other Flavoured Latte)2% Milk,320
39,Vanilla Latte (Or Other Flavoured Latte)Soymilk,270
40,Caffè AmericanoShort,5
41,Caffè AmericanoTall,10
42,Caffè AmericanoGrande,15
43,Caffè AmericanoVenti,25
44,CappuccinoShort Nonfat Milk,50
45,Cappuccino2% Milk,80
46,CappuccinoSoymilk,50
47,CappuccinoTall Nonfat Milk,60
48,Cappuccino2% Milk,90
49,CappuccinoSoymilk,70
50,CappuccinoGrande Nonfat Milk,80
51,Cappuccino2% Milk,120
52,CappuccinoSoymilk,100
53,CappuccinoVenti Nonfat Milk,110
54,Cappuccino2% Milk,150
55,CappuccinoSoymilk,120
56,EspressoSolo,5
57,EspressoDoppio,10
58,Skinny Latte (Any Flavour)Short Nonfat Milk,60
59,Skinny Latte (Any Flavour)Tall Nonfat Milk,100
60,Skinny Latte (Any Flavour)Grande Nonfat Milk,120
61,Skinny Latte (Any Flavour)Venti Nonfat Milk,160
62,Caramel MacchiatoShort Nonfat Milk,100
63,Caramel Macchiato2% Milk,120
